Year,month,sun_hr
1911,9,222.40000000000003
1911,10,98.20000000000002
1911,11,67.80000000000001
1911,12,48.9
1912,1,40.9
1912,2,38.60000000000001
1912,3,88.99999999999997
1912,4,238.8
1912,5,176.0
1912,6,193.4
1912,7,150.3
1912,8,98.2
1912,9,100.69999999999999
1912,10,134.79999999999998
1912,11,39.39999999999999
1912,12,29.900000000000002
1913,1,35.199999999999996
1913,2,56.900000000000006
1913,3,102.3
1913,4,116.49999999999996
1913,5,206.19999999999993
1913,6,204.79999999999995
1913,7,92.2
1913,8,152.00000000000003
1913,9,123.30000000000001
1913,10,105.39999999999999
1913,11,92.3
1913,12,42.1
1914,1,43.29999999999999
1914,2,76.20000000000002
1914,3,99.7
1914,4,230.9
1914,5,185.49999999999997
1914,6,248.30000000000004
1914,7,167.8
1914,8,173.5
1914,9,200.60000000000002
1914,10,82.09999999999998
1914,11,69.5
1914,12,41.90000000000001
1915,1,43.89999999999999
1915,2,81.30000000000001
1915,3,87.2
1915,4,162.5
1915,5,237.0
1915,6,242.0
1915,7,188.0
1915,8,176.0
1915,9,178.0
1915,10,63.0
1915,11,87.0
1915,12,33.0
1916,1,49.1
1916,2,76.50000000000003
1916,3,63.20000000000001
1916,4,197.50000000000003
1916,5,185.00000000000003
1916,6,136.7
1916,7,161.2
1916,8,174.39999999999998
1916,9,106.19999999999999
1916,10,88.49999999999999
1916,11,73.8
1916,12,24.799999999999997
1917,1,22.9
1917,2,49.800000000000004
1917,3,72.3
1917,4,138.8
1917,5,223.8
1917,6,186.30000000000004
1917,7,212.09999999999994
1917,8,147.89999999999998
1917,9,155.4
1917,10,155.3
1917,11,50.6
1917,12,70.39999999999999
1918,1,57.2
1918,2,66.3
1918,3,141.4
1918,4,97.19999999999999
1918,5,207.49999999999994
1918,6,226.5
1918,7,200.39999999999998
1918,8,178.89999999999998
1918,9,155.29999999999998
1918,10,78.8
1918,11,70.8
1918,12,36.49999999999999
1919,1,32.699999999999996
1919,2,48.10000000000001
1919,3,107.3
1919,4,120.4
1919,5,257.7
1919,6,230.70000000000002
1919,7,120.1
1919,8,228.89999999999998
1919,9,158.3
1919,10,136.2
1919,11,48.60000000000001
