year,month,monthly_air_temp
2016,3,5.498
2017,3,8.827145161290323
2018,3,4.913000000000001
2019,3,7.861112903225807
2020,3,6.678483870967742
2021,3,7.078402896935484
2022,3,7.594259085483872
2023,3,6.741423685161292
1878,4,8.503333333333334
1879,4,5.92
1880,4,7.744999999999999
1881,4,7.02
1882,4,8.198333333333332
1883,4,7.616666666666668
1884,4,6.388333333333332
1885,4,7.584999999999998
1886,4,7.605
1887,4,6.211666666666668
1888,4,5.994999999999999
1889,4,7.041666666666666
1890,4,6.983333333333334
1891,4,5.911666666666666
1892,4,7.455
1893,4,10.011666666666667
1894,4,9.328333333333331
1895,4,8.416666666666666
1896,4,8.663333333333332
1897,4,7.091666666666667
1898,4,7.870000000000001
1899,4,7.996666666666667
1900,4,7.881666666666667
1901,4,8.124999999999998
1902,4,7.318333333333333
1903,4,5.968333333333333
1904,4,8.941666666666665
1905,4,7.576666666666667
1906,4,6.966666666666667
1907,4,7.660000000000001
1908,4,5.879999999999998
1909,4,8.551666666666668
1910,4,7.731034482758623
1911,4,7.556666666666666
1912,4,8.655
1913,4,7.691666666666666
1914,4,9.116666666666667
1915,4,7.015000000000001
1916,4,8.02833333333333
1917,4,4.721666666666668
1918,4,5.943333333333334
1919,4,6.511666666666668
1920,4,8.095
1921,4,7.895
1922,4,5.335
1923,4,7.236666666666667
1924,4,7.058333333333334
1925,4,6.92
1926,4,8.774999999999999
1927,4,7.525
1928,4,7.378333333333332
1929,4,6.063333333333334
1930,4,7.655
1931,4,7.378333333333335
1932,4,6.551666666666666
1933,4,8.591666666666667
1934,4,7.668333333333334
1935,4,7.476666666666666
1936,4,5.819999999999999
1937,4,8.406666666666668
1938,4,6.695000000000001
1939,4,8.205
1940,4,8.355
1941,4,6.336666666666667
1942,4,8.805
1943,4,10.536666666666665
1944,4,9.656666666666668
1945,4,9.904999999999998
1946,4,9.44833333333333
1947,4,8.493333333333332
1948,4,9.038333333333332
1949,4,9.740000000000002
1950,4,7.345000000000001
1951,4,6.526666666666666
1952,4,9.71
1953,4,7.493333333333331
1954,4,7.098333333333333
1955,4,9.16
1956,4,6.249999999999999
1957,4,8.28
1958,4,7.121666666666667
1959,4,9.256666666666666
1960,4,8.380000000000003
1961,4,9.761666666666665
1962,4,7.290000000000001
1963,4,8.395
1964,4,8.131666666666666
1965,4,7.805000000000001
1966,4,7.449999999999998
1967,4,7.394999999999999
1968,4,7.924999999999999
1969,4,7.333333333333333
1970,4,6.213333333333335
1971,4,7.218333333333334
1972,4,7.993333333333331
1973,4,6.971666666666667
1974,4,7.901666666666665
1975,4,8.1
1976,4,7.581666666666665
1977,4,6.888333333333334
1978,4,6.125000000000001
1979,4,7.633333333333332
1980,4,8.003333333333332
1981,4,7.249999999999998
1982,4,8.133333333333333
1983,4,6.781666666666667
1984,4,7.4449999999999985
1985,4,8.17
1986,4,5.631666666666666
1987,4,9.995000000000001
1988,4,7.793333333333333
1989,4,6.261666666666667
1990,4,7.463333333333334
1991,4,7.385
1992,4,8.540000000000001
1993,4,9.445
1994,4,7.94
1995,4,8.973333333333333
1996,4,8.321666666666667
1997,4,8.611666666666666
1998,4,7.644999999999999
1999,4,9.39166666666667
2000,4,7.75
2001,4,7.75
2002,4,9.328333333333335
2003,4,9.208333333333334
2004,4,9.061666666666666
2005,4,8.901666666666667
2006,4,8.493333333333332
2007,4,11.185
2008,4,8.000000000000002
2009,4,10.018333333333334
2010,4,8.936016666666669
2011,4,12.1502
2012,4,7.428516666666665
2013,4,7.578766666666666
2014,4,10.480883333333335
2015,4,9.234700000000002
2016,4,7.69945
2017,4,8.994683333333336
2018,4,10.309633333333336
2019,4,8.772316666666667
2020,4,10.653133333333331
2021,4,6.342128258333332
2022,4,9.123043133333335
2023,4,8.496849920833332
1878,5,12.333870967741934
1879,5,8.453225806451611
1880,5,10.069354838709675
1881,5,11.206451612903228
1882,5,11.129032258064516
1883,5,10.696774193548386
1884,5,11.30322580645161
1885,5,8.97741935483871
1886,5,10.731034482758618
1887,5,9.366129032258064
1888,5,10.454838709677421
1889,5,12.60967741935484
1890,5,11.156451612903227
1891,5,9.751612903225807
1892,5,11.819354838709677
1893,5,12.974193548387099
1894,5,9.28064516129032
1895,5,12.125806451612904
1896,5,11.416129032258064
1897,5,10.08064516129032
1898,5,10.282258064516126
1899,5,10.10161290322581
1900,5,10.117741935483869
1901,5,11.01451612903226
1902,5,8.63225806451613
1903,5,10.908064516129032
1904,5,11.164516129032261
1905,5,10.772580645161288
1906,5,11.01290322580645
1907,5,10.680645161290325
1908,5,12.60483870967742
1909,5,10.461290322580645
1910,5,11.40967741935484
1911,5,12.711290322580648
1912,5,12.746774193548388
1913,5,11.853225806451613
1914,5,10.848387096774195
1915,5,11.003225806451614
1916,5,11.650000000000002
1917,5,13.133870967741936
1918,5,12.404838709677419
1919,5,12.866129032258064
1920,5,11.74516129032258
1921,5,11.485483870967744
1922,5,12.81451612903226
1923,5,9.554838709677423
1924,5,11.701612903225804
1925,5,11.433870967741935
1926,5,9.972580645161292
1927,5,11.130645161290323
1928,5,10.275806451612903
1929,5,10.756451612903225
1930,5,10.620967741935484
1931,5,10.987096774193546
1932,5,10.214516129032258
1933,5,11.83064516129032
1934,5,11.09677419354839
1935,5,9.706451612903226
1936,5,11.229032258064516
1937,5,11.693548387096774
1938,5,10.087096774193547
1939,5,10.379032258064514
1940,5,12.153225806451612
1941,5,8.520967741935484
1942,5,10.86774193548387
1943,5,12.224193548387095
1944,5,11.095161290322581
1945,5,12.264516129032259
1946,5,10.266129032258066
1947,5,13.412903225806453
1948,5,11.166129032258066
1949,5,10.406451612903222
1950,5,10.72258064516129
1951,5,9.85967741935484
1952,5,13.166129032258066
1953,5,12.246774193548388
1954,5,11.11451612903226
1955,5,9.825806451612902
1956,5,12.027419354838708
1957,5,10.038709677419353
1958,5,11.324193548387097
1959,5,12.006451612903225
1960,5,12.420967741935486
1961,5,10.572580645161292
1962,5,9.825806451612902
1963,5,10.209677419354838
1964,5,13.472580645161285
1965,5,11.401612903225807
1966,5,10.832258064516127
1967,5,10.541935483870967
1968,5,9.550000000000002
1969,5,11.469354838709675
1970,5,12.843548387096773
1971,5,11.467741935483867
1972,5,10.49193548387097
1973,5,11.453225806451611
1974,5,10.646774193548387
1975,5,9.482258064516127
1976,5,12.056451612903226
1977,5,10.19838709677419
1978,5,11.03548387096774
1979,5,10.348387096774195
1980,5,10.412903225806451
1981,5,10.909677419354843
1982,5,11.253225806451612
1983,5,10.116129032258065
1984,5,9.064516129032256
1985,5,10.458064516129031
1986,5,10.724193548387097
1987,5,9.575806451612905
1988,5,11.590322580645163
1989,5,12.940322580645162
1990,5,12.06774193548387
1991,5,9.722580645161292
1992,5,13.469354838709675
1993,5,11.716129032258063
1994,5,10.672580645161293
1995,5,11.420967741935485
1996,5,8.811290322580646
1997,5,11.44677419354839
1998,5,12.614516129032255
1999,5,12.961290322580645
2000,5,12.017741935483867
2001,5,12.606451612903225
2002,5,11.756451612903227
2003,5,12.158064516129032
